"CATEGORIE","LIBELLE","MOT_DIRECTEUR","STATUT","COMMUNE","RIVOLI","TENANT","ABOUTISSANT","BI_MIN","BP_MIN","BI_MAX","BP_MAX"
"Rue","Rue Lucie Aubrac","Aubrac","PRIVEE","ST-SEBASTIEN","0803","ST-SEBASTIEN Rue Lucie Aubrac","","3","4","11","6"
"Voie","Voie Non Dénommée 0091021","Dénommée","PUBLIQUE","BASSE-GOULAINE","","","","","","",""
"Passage","Passage de la Forge","Forge","PUBLIQUE","BASSE-GOULAINE","0139","BASSE-GOULAINE Rue des Vallées","BASSE-GOULAINE Chemin du Petit Havre","","","",""
"Voie","Voie Non Dénommée 0091033","Dénommée","PUBLIQUE","BASSE-GOULAINE","","","","","","",""
"Voie","Voie Non Dénommée 0091054","Dénommée","PUBLIQUE","BASSE-GOULAINE","","","","","","",""
"Voie","Voie Non Dénommée 0091058","Dénommée","PUBLIQUE","BASSE-GOULAINE","","","","","","",""
"Voie","Voie Non Dénommée 0180719","Dénommée","PUBLIQUE","BOUAYE","","","","","","",""
"Voie","Voie Non Dénommée 0180725","Dénommée","PUBLIQUE","BOUAYE","","","","","","",""
"Voie","Voie Non Dénommée 0180729","Dénommée","PUBLIQUE","BOUAYE","","","","","","",""
"Voie","Voie Non Dénommée 1981469","Dénommée","Inconnu","LES-SORINIERES","","","","","","",""
"Voie","Voie Non Dénommée 1501321","Dénommée","PUBLIQUE","SAINT-AIGNAN-GRANDLIEU","","","","","","",""
"Voie","Voie Non Dénommée 1501340","Dénommée","PUBLIQUE","SAINT-AIGNAN-GRANDLIEU","","","","","","",""
"Voie","Voie Non Dénommée 1501350","Dénommée","PUBLIQUE","SAINT-AIGNAN-GRANDLIEU","","","","","","",""
"Voie","Voie Non Dénommée 1501353","Dénommée","PUBLIQUE","SAINT-AIGNAN-GRANDLIEU","","","","","","",""
"Voie","Voie Non Dénommée 1501377","Dénommée","PUBLIQUE","SAINT-AIGNAN-GRANDLIEU","","","","","","",""
"Voie","Voie Non Dénommée 1501379","Dénommée","PUBLIQUE","SAINT-AIGNAN-GRANDLIEU","","","","","","",""
"Voie","Voie Non Dénommée 1501381","Dénommée","PUBLIQUE","SAINT-AIGNAN-GRANDLIEU","","","","","","",""
"Chemin","Chemin des Petites Villes","Petites","PUBLIQUE","BOUAYE","0134","BOUAYE Route du Robelier","BOUAYE Route de la Mare Potier","","","",""
"Chemin","Chemin de la Quiltrie","Quiltrie","PUBLIQUE","LES-SORINIERES","","VERTOU Route de la Quiltrie","LES-SORINIERES Chemin du Cassier","","","",""
"Voie","Voie Non Dénommée 1660790","Dénommée","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","","","","","","",""
"Passage","Passage des Fritillaires","Fritillaires","PRIVEE","SAINT-JEAN-DE-BOISEAU","0479","SAINT-JEAN-DE-BOISEAU Rue des Bruyères","","","","",""
"Chemin","Chemin des Marais","Marais","PRIVEE","NANTES","5378","NANTES Chemin de la Grotte","NANTES Avenue Agrippa d'Aubigné","3","4","7","4"
"Rue","Rue Martine Carol","Carol","PRIVEE","NANTES","5425","NANTES Rue du Landreau","","1","2","13","50"
"Impasse","Impasse des Poiriers","Poiriers","PRIVEE","COUERON","1881","COUERON Impasse des Pommiers","Impasse","1","2","5","10"
"Rue","Rue des Labours","Labours","PUBLIQUE","COUERON","1303","COUERON Rue des Semailles","COUERON Boulevard de la Libération","1","","1",""
"Rue","Rue Jacques Brel","Brel","PUBLIQUE","COUERON","1217","COUERON Rue Jules Massenet","","1","2","19","8"
